"시점","기관별(1)","기관별(2)",멸종위기류별(1),데이터
"2017","국립공원내 멸종위기종","Ⅱ급",포유류,5
"2017","국립공원내 멸종위기종","Ⅱ급",조류,43
"2017","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2017","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2017","국립공원내 멸종위기종","Ⅱ급",어류,8
"2017","국립공원내 멸종위기종","Ⅱ급",곤충,18
"2017","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,11
"2017","국립공원내 멸종위기종","Ⅱ급",고등균류,1
"2018","환경부지정 멸종위기종","소계",계,267
"2018","환경부지정 멸종위기종","소계",식물,88
"2018","환경부지정 멸종위기종","소계",포유류,20
"2018","환경부지정 멸종위기종","소계",조류,63
"2018","환경부지정 멸종위기종","소계",양서류,4
"2018","환경부지정 멸종위기종","소계",파충류,4
"2018","환경부지정 멸종위기종","소계",어류,27
"2018","환경부지정 멸종위기종","소계",곤충,26
"2018","환경부지정 멸종위기종","소계",저서성대형 무척추동물,32
"2018","환경부지정 멸종위기종","소계",해조류,2
"2018","환경부지정 멸종위기종","소계",고등균류,1
"2018","국립공원내 멸종위기종","소계",계,175
