"지역","발생횟수","날짜","year","month"
"충남",362,2019-06-01,2019,6
"전북",364,2019-06-01,2019,6
"전남",361,2019-06-01,2019,6
"경북",458,2019-06-01,2019,6
"경남",738,2019-06-01,2019,6
"제주",559,2019-06-01,2019,6
"서울",172,2019-07-01,2019,7
"부산",235,2019-07-01,2019,7
"대구",155,2019-07-01,2019,7
"인천",264,2019-07-01,2019,7
"광주",133,2019-07-01,2019,7
"대전",85,2019-07-01,2019,7
"울산",59,2019-07-01,2019,7
"세종",19,2019-07-01,2019,7
"경기",1352,2019-07-01,2019,7
"강원",390,2019-07-01,2019,7
"충북",219,2019-07-01,2019,7
"충남",589,2019-07-01,2019,7
"전북",465,2019-07-01,2019,7
"전남",492,2019-07-01,2019,7
"경북",672,2019-07-01,2019,7
"경남",996,2019-07-01,2019,7
"제주",564,2019-07-01,2019,7
"서울",174,2019-08-01,2019,8
"부산",240,2019-08-01,2019,8
"대구",158,2019-08-01,2019,8
"인천",199,2019-08-01,2019,8
"광주",78,2019-08-01,2019,8
"대전",111,2019-08-01,2019,8
"울산",93,2019-08-01,2019,8
"세종",25,2019-08-01,2019,8
"경기",1417,2019-08-01,2019,8
"강원",391,2019-08-01,2019,8
"충북",270,2019-08-01,2019,8
"충남",494,2019-08-01,2019,8
"전북",501,2019-08-01,2019,8
"전남",483,2019-08-01,2019,8
"경북",612,2019-08-01,2019,8
"경남",1002,2019-08-01,2019,8
"제주",588,2019-08-01,2019,8
"서울",136,2019-09-01,2019,9
"부산",249,2019-09-01,2019,9
"대구",132,2019-09-01,2019,9
"인천",214,2019-09-01,2019,9
"광주",126,2019-09-01,2019,9
"대전",99,2019-09-01,2019,9
"울산",83,2019-09-01,2019,9
"세종",13,2019-09-01,2019,9
"경기",1317,2019-09-01,2019,9
"강원",365,2019-09-01,2019,9
"충북",244,2019-09-01,2019,9
"충남",467,2019-09-01,2019,9
"전북",363,2019-09-01,2019,9
"전남",466,2019-09-01,2019,9
"경북",654,2019-09-01,2019,9
"경남",1111,2019-09-01,2019,9
"제주",598,2019-09-01,2019,9
"서울",162,2019-10-01,2019,10
"부산",189,2019-10-01,2019,10
"대구",152,2019-10-01,2019,10
"인천",200,2019-10-01,2019,10
"광주",121,2019-10-01,2019,10
"대전",87,2019-10-01,2019,10
"울산",108,2019-10-01,2019,10
"세종",35,2019-10-01,2019,10
"경기",1266,2019-10-01,2019,10
"강원",296,2019-10-01,2019,10
"충북",185,2019-10-01,2019,10
"충남",419,2019-10-01,2019,10
"전북",461,2019-10-01,2019,10
"전남",483,2019-10-01,2019,10
"경북",684,2019-10-01,2019,10
"경남",1029,2019-10-01,2019,10
"제주",548,2019-10-01,2019,10
"서울",131,2019-11-01,2019,11
"부산",187,2019-11-01,2019,11
"대구",137,2019-11-01,2019,11
"인천",161,2019-11-01,2019,11
"광주",91,2019-11-01,2019,11
"대전",97,2019-11-01,2019,11
"울산",89,2019-11-01,2019,11
"세종",10,2019-11-01,2019,11
"경기",1151,2019-11-01,2019,11
"강원",288,2019-11-01,2019,11
"충북",195,2019-11-01,2019,11
"충남",380,2019-11-01,2019,11
"전북",391,2019-11-01,2019,11
"전남",479,2019-11-01,2019,11
"경북",539,2019-11-01,2019,11
"경남",728,2019-11-01,2019,11
"제주",484,2019-11-01,2019,11
"서울",161,2019-12-01,2019,12
"부산",193,2019-12-01,2019,12
"대구",120,2019-12-01,2019,12
